,Input,Insert Sort,Merge Sort,Select Sort
0,10,1.9788742065429688e-05,4.935264587402344e-05,2.0742416381835938e-05
1,20,3.0517578125e-05,8.702278137207031e-05,7.176399230957031e-05
2,30,5.1021575927734375e-05,0.00013589859008789062,0.00019979476928710938
3,40,7.653236389160156e-05,0.0001811981201171875,0.0004706382751464844
4,50,0.000118255615234375,0.00026297569274902344,0.0006952285766601562
5,60,0.00015544891357421875,0.00030517578125,0.0013611316680908203
6,70,0.00020623207092285156,0.0003497600555419922,0.0019485950469970703
7,80,0.00028514862060546875,0.0003941059112548828,0.003019571304321289
8,90,0.00034356117248535156,0.00047397613525390625,0.0034983158111572266
9,100,0.00043320655822753906,0.0005242824554443359,0.005031108856201172
10,110,0.0005309581756591797,0.0005786418914794922,0.006337404251098633
11,120,0.0005550384521484375,0.0006566047668457031,0.008312225341796875
12,130,0.0005905628204345703,0.0007119178771972656,0.011851310729980469
13,140,0.0007185935974121094,0.0007193088531494141,0.013823986053466797
14,150,0.0009012222290039062,0.0007925033569335938,0.016046762466430664
15,160,0.0009710788726806641,0.0008287429809570312,0.019448280334472656
16,170,0.0010972023010253906,0.00095367431640625,0.02304673194885254
17,180,0.001199483871459961,0.0009768009185791016,0.028533458709716797
18,190,0.0014278888702392578,0.001056671142578125,0.029706239700317383
19,200,0.0015325546264648438,0.0011255741119384766,0.04160881042480469
20,210,0.001642465591430664,0.001119375228881836,0.04389071464538574
21,220,0.0018393993377685547,0.0012240409851074219,0.05052590370178223
22,230,0.002235889434814453,0.0012676715850830078,0.05278444290161133
23,240,0.002266407012939453,0.001312255859375,0.062230825424194336
24,250,0.003134012222290039,0.001409292221069336,0.06859874725341797
25,260,0.002411365509033203,0.0014576911926269531,0.08820176124572754
26,270,0.002969980239868164,0.0015573501586914062,0.08385515213012695
27,280,0.003035306930541992,0.0015726089477539062,0.10173439979553223
28,290,0.003201007843017578,0.0015916824340820312,0.11828780174255371
29,300,0.0035316944122314453,0.0016400814056396484,0.12296509742736816
30,310,0.003543376922607422,0.0017364025115966797,0.1453695297241211
31,320,0.0038383007049560547,0.0018229484558105469,0.1549515724182129
32,330,0.004175901412963867,0.0018525123596191406,0.16337108612060547
33,340,0.004693746566772461,0.0019168853759765625,0.17121028900146484
34,350,0.004592180252075195,0.001999378204345703,0.2033698558807373
35,360,0.005239963531494141,0.0020775794982910156,0.20760726928710938
36,370,0.005457162857055664,0.002240419387817383,0.2277834415435791
37,380,0.00594019889831543,0.002146005630493164,0.2586510181427002
38,390,0.0061168670654296875,0.0022568702697753906,0.286456823348999
39,400,0.006304264068603516,0.0023894309997558594,0.3014106750488281
40,410,0.00656890869140625,0.0023488998413085938,0.3285086154937744
41,420,0.007319450378417969,0.0024242401123046875,0.3168675899505615
42,430,0.0074083805084228516,0.0025146007537841797,0.3664851188659668
43,440,0.008063793182373047,0.0025146007537841797,0.36690831184387207
44,450,0.008185386657714844,0.0025408267974853516,0.40723490715026855
45,460,0.008665084838867188,0.0026941299438476562,0.4371151924133301
46,470,0.009182929992675781,0.002740144729614258,0.4514811038970947
47,480,0.008832454681396484,0.0027816295623779297,0.5171399116516113
48,490,0.009875297546386719,0.0028448104858398438,0.5271539688110352
49,500,0.009974479675292969,0.0028443336486816406,0.5620665550231934
50,510,0.010284423828125,0.002943277359008789,0.600374698638916
51,520,0.011079072952270508,0.0031135082244873047,0.6406040191650391
52,530,0.012953519821166992,0.0033609867095947266,0.7213377952575684
53,540,0.01206660270690918,0.0032110214233398438,0.7118492126464844
54,550,0.01234745979309082,0.003343343734741211,0.7570655345916748
55,560,0.012383460998535156,0.003314495086669922,0.807856559753418
56,570,0.01242518424987793,0.003317117691040039,0.8696014881134033
57,580,0.014163017272949219,0.003444194793701172,0.8644735813140869
58,590,0.014507055282592773,0.003459453582763672,0.9027853012084961
